activity,ahead_commits,approximate_upstream,commits,contributed_commits,contributors,created_at,files,fork,fork_name,forks,language,latest_upstream_behind,latest_upstream_date,merge_commits,more_commits,num_refs,oldest_upstream_behind,oldest_upstream_date,open_issues,project_size,pushed_at,repo_size,upstream_commits,upstream_contributions,upstream_name,watchers
1,0,0,1,0,41,2011-04-18T15:07:41Z,18,false,sophy/chosen,830,,57,1328302799,0,0,3,122,1317418743,233,364,2012-07-06T20:58:48Z,1256,309,107,harvesthq/chosen,7910
0,0,0,0,0,41,2011-04-18T15:07:41Z,18,false,jcinteractive/chosen,830,,169,1313770983,0,0,2,170,1313768519,233,364,2012-07-06T20:58:48Z,1256,309,107,harvesthq/chosen,7910
6,1,0,6,0,41,2011-04-18T15:07:41Z,18,false,kmiyashiro/chosen,830,,5,1336775581,1,0,4,122,1317418743,233,364,2012-07-06T20:58:48Z,1256,309,107,harvesthq/chosen,7910
1,0,0,1,0,41,2011-04-18T15:07:41Z,18,false,ritchiea/chosen,830,,89,1323365181,0,0,3,122,1317418743,233,364,2012-07-06T20:58:48Z,1256,309,107,harvesthq/chosen,7910
31,21,0,31,0,41,2011-04-18T15:07:41Z,18,false,kevinjhc/chosen,830,,0,1338000627,2,0,11,122,1317418743,233,364,2012-07-06T20:58:48Z,1256,309,107,harvesthq/chosen,7910
31,21,0,31,0,41,2011-04-18T15:07:41Z,18,false,chilldude/chosen,830,,0,1338000627,2,0,11,122,1317418743,233,364,2012-07-06T20:58:48Z,1256,309,107,harvesthq/chosen,7910
13,8,0,13,0,41,2011-04-18T15:07:41Z,18,false,yvesvanbroekhoven/chosen,830,,57,1328302799,0,0,6,122,1317418743,233,364,2012-07-06T20:58:48Z,1256,309,107,harvesthq/chosen,7910
31,21,0,31,0,41,2011-04-18T15:07:41Z,18,false,krautcomputing/chosen,830,,0,1338000627,2,0,11,122,1317418743,233,364,2012-07-06T20:58:48Z,1256,309,107,harvesthq/chosen,7910
21,16,0,21,0,41,2011-04-18T15:07:41Z,18,false,inelsonrocha/chosen,830,,57,1328302799,0,0,6,122,1317418743,233,364,2012-07-06T20:58:48Z,1256,309,107,harvesthq/chosen,7910
0,0,0,0,0,41,2011-04-18T15:07:41Z,18,false,hhyou/chosen,830,,257,1311111226,0,0,1,257,1311111226,233,364,2012-07-06T20:58:48Z,1256,309,107,harvesthq/chosen,7910
4,3,0,4,0,5,2008-06-20T22:07:15Z,87,false,tylerstalder/dotfiles,538,,15,1296585131,0,0,1,15,1296585131,1,1136,2012-06-03T20:23:01Z,1568,118,7,ryanb/dotfiles,1321
0,0,0,0,0,5,2008-06-20T22:07:15Z,87,false,mrkd/dotfiles,538,,12,1309367649,0,0,1,12,1309367649,1,1136,2012-06-03T20:23:01Z,1568,118,7,ryanb/dotfiles,1321
0,0,0,0,0,5,2008-06-20T22:07:15Z,87,false,maxtsap/dotfiles,538,,12,1309367649,0,0,1,12,1309367649,1,1136,2012-06-03T20:23:01Z,1568,118,7,ryanb/dotfiles,1321
155,154,0,155,0,5,2008-06-20T22:07:15Z,87,false,glanotte/dotfiles,538,,53,1249412396,0,0,1,53,1249412396,1,1136,2012-06-03T20:23:01Z,1568,118,7,ryanb/dotfiles,1321
0,0,0,0,0,5,2008-06-20T22:07:15Z,87,false,saidloud/dotfiles,538,,12,1309367649,0,0,1,12,1309367649,1,1136,2012-06-03T20:23:01Z,1568,118,7,ryanb/dotfiles,1321
0,0,0,0,0,4,2012-07-05T03:13:55Z,8,false,ChineseDron/mousetrap,108,,25,1341889886,0,0,1,25,1341889886,15,144,2012-07-12T02:16:44Z,848,156,11,ccampbell/mousetrap,1769
0,0,0,0,0,4,2012-07-05T03:13:55Z,8,false,Macjon/mousetrap,108,,83,1341551758,0,0,1,83,1341551758,15,144,2012-07-12T02:16:44Z,848,156,11,ccampbell/mousetrap,1769
0,0,0,0,0,4,2012-07-05T03:13:55Z,8,false,quezo/mousetrap,108,,89,1341461236,0,0,1,89,1341461236,15,144,2012-07-12T02:16:44Z,848,156,11,ccampbell/mousetrap,1769
0,0,0,0,0,4,2012-07-05T03:13:55Z,8,false,jarc100/mousetrap,108,,0,1342059391,0,0,1,0,1342059391,15,144,2012-07-12T02:16:44Z,848,156,11,ccampbell/mousetrap,1769
0,0,0,0,0,4,2012-07-05T03:13:55Z,8,false,HarrisonJackson/mousetrap,108,,89,1341461236,0,0,1,89,1341461236,15,144,2012-07-12T02:16:44Z,848,156,11,ccampbell/mousetrap,1769
0,0,0,0,0,4,2012-07-05T03:13:55Z,8,false,L1fescape/mousetrap,108,,89,1341461236,0,0,1,89,1341461236,15,144,2012-07-12T02:16:44Z,848,156,11,ccampbell/mousetrap,1769
0,0,0,0,0,4,2012-07-05T03:13:55Z,8,false,cameronbriar/mousetrap,108,,89,1341461236,0,0,1,89,1341461236,15,144,2012-07-12T02:16:44Z,848,156,11,ccampbell/mousetrap,1769
0,0,0,0,0,4,2012-07-05T03:13:55Z,8,false,cocus-es/mousetrap,108,,34,1341804284,0,0,1,34,1341804284,15,144,2012-07-12T02:16:44Z,848,156,11,ccampbell/mousetrap,1769
0,0,0,0,0,4,2012-07-05T03:13:55Z,8,false,mazeme/mousetrap,108,,34,1341804284,0,0,1,34,1341804284,15,144,2012-07-12T02:16:44Z,848,156,11,ccampbell/mousetrap,1769
0,0,0,0,0,4,2012-07-05T03:13:55Z,8,false,yersoncode/mousetrap,108,,25,1341889886,0,0,1,25,1341889886,15,144,2012-07-12T02:16:44Z,848,156,11,ccampbell/mousetrap,1769
